Threshold,Precision,Recall,F2
0.05885446,0.10824742268041238,0.7590361445783133,0.3446389496714834
0.059116542,0.10843373493975904,0.7590361445783133,0.3450164293534895
0.05920864,0.10862068965517241,0.7590361445783133,0.34539473684181593
0.059418723,0.10880829015544041,0.7590361445783133,0.34577387486249855
0.05945751,0.10899653979238755,0.7590361445783133,0.34615384615355643
0.05946584,0.10918544194107452,0.7590361445783133,0.3465346534650567
0.05952473,0.109375,0.7590361445783133,0.3469162995591814
0.05973686,0.10956521739130434,0.7590361445783133,0.3472987872102942
0.0598614,0.10975609756097561,0.7590361445783133,0.3476821192050078
0.05988738,0.1099476439790576,0.7590361445783133,0.34806629834225117
0.059899207,0.11013986013986014,0.7590361445783133,0.34845132743333784
0.059980165,0.11033274956217162,0.7590361445783133,0.34883720930203493
0.06000154,0.11052631578947368,0.7590361445783133,0.3492239467846316
0.06080967,0.11072056239015818,0.7590361445783133,0.3496115427300088
0.060839247,0.11091549295774648,0.7590361445783133,0.349999999999709
0.06089897,0.1111111111111111,0.7590361445783133,0.350389321468007
0.060982227,0.11130742049469965,0.7590361445783133,0.35077951002198043
0.061013624,0.11150442477876106,0.7590361445783133,0.35117056856158146
0.06115085,0.11170212765957446,0.7590361445783133,0.3515624999997084
0.06148836,0.11190053285968028,0.7590361445783133,0.35195530726227814
0.061667286,0.1103202846975089,0.7469879518072289,0.34675615212498784
0.061726604,0.11051693404634581,0.7469879518072289,0.3471444568866061
0.06180229,0.11071428571428571,0.7469879518072289,0.3475336322867034
0.061821036,0.11091234347048301,0.7469879518072289,0.3479236812567224
0.062069084,0.1111111111111111,0.7469879518072289,0.3483146067412807
0.062089976,0.11131059245960502,0.7469879518072289,0.3487064116982452
0.062228907,0.11151079136690648,0.7469879518072289,0.3490990990988065
0.06256415,0.10990990990990991,0.7349397590361446,0.3438556933480726
0.06264366,0.11010830324909747,0.7349397590361446,0.3442437923247635
0.06268115,0.11030741410488246,0.7349397590361446,0.3446327683612888
0.0628073,0.1105072463768116,0.7349397590361446,0.345022624434096
0.06310643,0.11070780399274047,0.7349397590361446,0.3454133635331156
0.06317039,0.11090909090909092,0.7349397590361446,0.3458049886618381
0.0632636,0.1092896174863388,0.7228915662650602,0.34052213393841246
0.06332577,0.10948905109489052,0.7228915662650602,0.34090909090879723
0.06336933,0.10968921389396709,0.7228915662650602,0.34129692832735115
0.063550234,0.10989010989010989,0.7228915662650602,0.3416856492024396
0.06359322,0.11009174311926606,0.7228915662650602,0.3420752565561483
0.0636052,0.11029411764705882,0.7228915662650602,0.34246575342436336
0.063911185,0.11049723756906077,0.7228915662650602,0.3428571428568485
0.064000405,0.11070110701107011,0.7228915662650602,0.3432494279173257
0.064372376,0.11090573012939002,0.7228915662650602,0.3436426116835542
0.064504795,0.1111111111111111,0.7228915662650602,0.3440366972474117
0.064676896,0.11131725417439703,0.7228915662650602,0.34443168771497495
0.064946376,0.11152416356877323,0.7228915662650602,0.3448275862066016
