Threshold,Precision,Recall,F1,F2,False Negatives,True Positives,False Positives,True Negatives
0.0018132844,0.10052910052910052,0.6867469879518072,0.1753846153846154,0.3170189098998888,26,57,510,660
0.0018207037,0.10070671378091872,0.6867469879518072,0.17565485362095531,0.31737193763919824,26,57,509,661
0.001826082,0.10088495575221239,0.6867469879518072,0.17592592592592593,0.3177257525083612,26,57,508,662
0.0018375935,0.10106382978723404,0.6867469879518072,0.17619783616692428,0.31808035714285715,26,57,507,663
0.0018420473,0.10124333925399645,0.6867469879518072,0.17647058823529413,0.31843575418994413,26,57,506,664
0.0018569432,0.10142348754448399,0.6867469879518072,0.17674418604651163,0.3187919463087248,26,57,505,665
0.0018739803,0.10160427807486631,0.6867469879518072,0.17701863354037267,0.3191489361702128,26,57,504,666
0.0018785034,0.10178571428571428,0.6867469879518072,0.17729393468118196,0.3195067264573991,26,57,503,667
0.0018838814,0.10196779964221825,0.6867469879518072,0.17757009345794392,0.31986531986531985,26,57,502,668
0.0018871076,0.10215053763440861,0.6867469879518072,0.17784711388455537,0.3202247191011236,26,57,501,669
0.0018890684,0.10233393177737882,0.6867469879518072,0.178125,0.3205849268841395,26,57,500,670
0.0019013598,0.10251798561151079,0.6867469879518072,0.1784037558685446,0.32094594594594594,26,57,499,671
0.0019029522,0.10270270270270271,0.6867469879518072,0.1786833855799373,0.32130777903043967,26,57,498,672
0.0019127305,0.10288808664259928,0.6867469879518072,0.17896389324960754,0.3216704288939052,26,57,497,673
0.0019244291,0.10307414104882459,0.6867469879518072,0.1792452830188679,0.3220338983050847,26,57,496,674
0.0019392255,0.10326086956521739,0.6867469879518072,0.1795275590551181,0.3223981900452489,26,57,495,675
0.0019392614,0.10344827586206896,0.6867469879518072,0.17981072555205047,0.32276330690826727,26,57,494,676
0.0019453298,0.10363636363636364,0.6867469879518072,0.18009478672985782,0.3231292517006803,26,57,493,677
0.0019683188,0.10382513661202186,0.6867469879518072,0.18037974683544303,0.32349602724177073,26,57,492,678
0.0019707445,0.10401459854014598,0.6867469879518072,0.18066561014263074,0.32386363636363635,26,57,491,679
0.001983283,0.10420475319926874,0.6867469879518072,0.18095238095238095,0.3242320819112628,26,57,490,680
0.0019843425,0.1043956043956044,0.6867469879518072,0.18124006359300476,0.3246013667425968,26,57,489,681
0.0019957132,0.10458715596330276,0.6867469879518072,0.18152866242038215,0.3249714937286203,26,57,488,682
